67,0,2,1,1169,6
22,1,2,1,5951,48
49,0,1,1,2096,12
45,0,2,0,7882,42
53,0,2,0,4870,24
35,0,1,0,9055,36
53,0,2,1,2835,24
35,0,3,2,6948,36
61,0,1,1,3059,12
28,0,3,1,5234,30
25,1,2,2,1295,12
24,1,2,2,4308,48
22,1,2,1,1567,12
60,0,1,1,1199,24
28,1,2,2,1403,15
32,1,1,1,1282,24
53,0,2,1,2424,24
25,0,2,1,8072,30
44,1,3,0,12579,24
31,0,2,1,3430,24
48,0,2,1,2134,9
44,0,2,2,2647,6
48,0,1,2,2241,10
44,0,2,1,1804,12
26,0,2,1,2069,10
36,0,1,1,1374,6
39,0,1,1,426,6
42,1,2,2,409,12
34,0,2,1,2415,7
63,0,2,1,6836,60
36,0,2,1,1913,18
27,0,2,1,4020,24
30,0,2,1,5866,18
57,0,1,2,1264,12
33,1,3,1,1474,12
25,0,1,1,4746,45
31,0,2,0,6110,48
37,0,2,1,2100,18
37,0,2,1,1225,10
24,0,2,1,458,9
30,0,3,1,2333,30
26,0,2,1,1158,12
44,0,1,1,6204,18
24,0,2,2,6187,30
58,1,1,0,6143,48
35,1,3,1,1393,11
39,0,2,1,2299,36
23,1,0,2,1352,6
39,0,1,1,7228,11
28,1,2,1,2073,12
29,0,1,1,2333,24
30,0,3,1,5965,27
25,0,2,1,1262,12
31,0,2,1,3378,18
57,0,2,0,2225,36
26,0,1,1,783,6
52,0,3,1,6468,12
31,1,2,1,9566,36
23,1,3,1,1961,18
23,1,1,2,6229,36
27,0,2,1,1391,9
50,0,2,1,1537,15
61,0,3,0,1953,36
25,0,2,1,14421,48
26,1,2,1,3181,24
48,0,2,1,5190,27
29,1,2,1,2171,12
22,0,2,1,1007,12
37,0,2,0,1819,36
25,1,2,1,2394,36
30,1,2,1,8133,36
46,0,1,2,730,7
51,0,3,0,1164,8
41,1,1,1,5954,42
40,0,3,1,1977,36
66,0,3,0,1526,12
34,0,2,1,3965,42
51,0,2,1,4771,11
39,0,1,1,9436,54
22,0,2,1,3832,30
44,1,2,1,5943,24
47,0,2,1,1213,15
24,1,1,2,1568,18
58,1,1,1,1755,24
52,0,1,1,2315,10
29,1,3,1,1412,12
27,1,2,1,1295,18
47,0,2,0,12612,36
30,0,3,1,2249,18
28,0,2,1,1108,12
56,0,2,1,618,12
54,0,2,1,1409,12
33,1,1,1,797,12
20,0,2,2,3617,24
54,0,2,1,1318,12
58,0,2,2,15945,54
61,1,2,1,2012,12
34,0,2,1,2622,18
36,0,2,1,2337,36
36,0,3,2,7057,20
41,0,1,2,1469,24
24,0,2,2,2323,36
24,1,2,1,932,6
35,0,2,2,1919,9
26,0,2,2,2445,12
39,0,3,1,11938,24
39,0,3,1,6458,18
32,0,2,1,6078,12
30,1,2,1,7721,24
35,0,2,1,1410,14
31,0,2,1,1449,6
23,1,2,2,392,15
28,0,1,2,6260,18
25,1,2,1,7855,36
35,0,2,1,1680,12
47,0,2,1,3578,48
30,1,3,1,7174,42
27,1,2,2,2132,10
23,1,2,1,4281,33
36,0,3,1,2366,12
25,1,2,1,1835,21
41,1,3,2,3868,24
24,0,1,2,1768,12
63,0,2,0,781,10
27,1,2,2,1924,18
30,0,2,1,2121,12
40,0,1,1,701,12
30,0,2,1,639,12
34,0,3,1,1860,12
29,1,2,1,3499,12
24,1,2,1,8487,48
29,0,2,1,6887,36
27,0,1,1,2708,15
47,0,2,0,1984,18
21,1,2,1,10144,60
38,1,2,1,1240,12
27,0,2,1,8613,27
66,0,1,1,766,12
35,0,2,1,2728,15
44,1,1,2,1881,12
27,0,0,1,709,6
30,1,3,1,4795,36
27,0,3,1,3416,27
22,0,2,1,2462,18
23,1,2,1,2288,21
30,0,2,1,3566,48
39,1,2,1,860,6
51,1,2,1,682,12
28,0,2,1,5371,36
46,0,2,1,1582,18
42,0,2,0,1346,6
38,0,2,1,1924,10
24,0,2,1,5848,36
29,1,2,2,7758,24
36,0,3,2,6967,24
20,1,2,2,1282,12
48,0,2,1,1288,9
45,0,1,1,339,12
38,0,2,1,3512,24
34,0,1,1,1898,6
36,0,2,1,2872,24
30,1,2,1,1055,18
36,0,2,1,1262,15
70,0,3,0,7308,10
36,0,2,1,909,36
32,0,2,1,2978,6
33,1,2,1,1131,18
20,1,2,1,1577,11
25,1,2,2,3972,24
31,0,2,1,1935,24
33,0,2,2,950,15
26,1,2,1,763,12
34,1,3,1,2064,24
33,0,2,1,1414,8
26,0,2,1,3414,21
53,1,3,1,7485,30
42,0,2,1,2577,12
52,0,2,1,338,6
31,0,3,2,1963,12
65,0,2,1,571,21
28,0,2,1,9572,36
30,0,3,1,4455,36
40,0,1,1,1647,21
50,0,2,1,3777,24
36,0,2,1,884,18
31,0,2,1,1360,15
74,1,3,0,5129,9
68,0,0,0,1175,16
20,0,2,1,674,12
33,1,2,1,3244,18
54,0,3,1,4591,24
34,0,1,0,3844,48
36,0,2,1,3915,27
29,0,2,2,2108,6
21,0,2,2,3031,45
34,1,3,1,1501,9
28,1,2,1,1382,6
27,1,2,2,951,12
36,0,2,0,2760,24
40,0,3,1,4297,18
52,0,2,1,936,9
27,0,1,1,1168,12
26,0,2,1,5117,27
21,0,2,2,902,12
38,0,1,1,1495,12
38,0,3,0,10623,30
43,0,2,1,1935,12
26,0,2,1,1424,12
21,0,1,1,6568,24
55,0,2,1,1413,12
33,0,2,1,3074,9
45,1,1,1,3835,36
50,0,2,1,5293,27
66,0,3,1,1908,30
51,0,2,1,3342,36
39,1,1,1,932,6
31,0,2,1,3104,18
23,0,2,1,3913,36
24,0,1,2,3021,24
